(NORTH DAKOTA, v. BIRCHFIELD is, 2016)
(such tests, are, administered at police station in patrol car in mobile testing facility)
(tests, are, administered)
(such tests, are, administered at police station in patrol car)
(such tests, are administered in, testing facility)
(tests, are, normally administered at police station in testing facility)
(such tests, are, Again normally administered at police station in patrol car in mobile testing facility)
(tests, are, Again administered at police station in mobile testing facility)
(such tests, are normally administered at, police station)
(tests, are, administered at police station in mobile testing facility)
(tests, are, Again normally administered at police station in testing facility)
(tests, are, Again normally administered at police station in patrol car)
(such tests, are, Again normally administered in patrol car in testing facility)
(such tests, are, Again normally administered at police station in patrol car in testing facility)
(such tests, are, normally administered at police station in testing facility)
(tests, are, normally administered in patrol car in testing facility)
(tests, are, administered at police station in patrol car)
(tests, are administered out of, view)
(tests, are normally administered in, patrol car)
(such tests, are, Again administered at police station in mobile testing facility)
(such tests, are administered out of, view)
(such tests, are, Again normally administered at police station in patrol car)
(such tests, are administered in, private)
(such tests, are normally administered in, private)
(such tests, Again are normally administered in, testing facility)
(individual 's expectation, once placed under, arrest)
(individual 's expectation, is, Moreover necessarily diminished)
(individual 's expectation, is, Moreover diminished)
(individual 's expectation, placed under, arrest)
(individual 's expectation, is, necessarily diminished)
(individual, has, expectation of privacy)
(individual 's expectation, is, diminished)
(___, at Maryland is, supra)
(we, reiterate For, reasons)
(Blood tests, are, different matter)
(tests, are, different)
(Blood tests, are, matter)
(extract, part of, subject 's body)
(skin, extract, part)
(skin, extract, part of subject 's body)
(subject, of, body)
(blood draws, are, id. significant bodily intrusions)
(blood draws, are, intrusions)
(blood draws, are, bodily intrusions)
(blood draws, are, significant bodily intrusions)
(blood draws, are, id. significant intrusions)
(blood draws, are, id. intrusions)
(blood draws, are, id. bodily intrusions)
(625, at Skinner is, supra)
(defendant, beneath, skin)
(blood draws, are, significant intrusions)
(humans, exhale air at_time, many times per minute)
(humans, exhale air at_time, times per minute)
(people, submit to, taking)
(people, voluntarily submit as, part)
(process, involves, pain)
(people, submit as, part of examination)
(people, submit as, part)
(people, voluntarily submit to, taking of blood samples)
(people, voluntarily submit as, part of physical examination)
(process, involves, risk)
(It, is, true)
(people, voluntarily submit to, taking)
(process, involves, little pain)
(people, voluntarily submit as, part of examination)
(people, submit to, taking of blood samples)
(It, is true of, course)
(people, submit as, part of physical examination)
(It, is more intrusive, blowing into tube)
(It, is significantly intrusive, blowing into tube)
(It, is more intrusive, blowing)
(It, is, more intrusive)
(It, is significantly intrusive, blowing)
(It, is, significantly more intrusive)
(It, is intrusive, blowing)
(It, blowing into, tube)
(It, is significantly more intrusive, blowing)
(It, is, significantly intrusive)
(It, is intrusive, blowing into tube)
(It, is significantly more intrusive, blowing into tube)
(It, is, intrusive)
(breath tests, give, measure of choice)
(breath tests, be administered in, drunk-driving case)
(breath tests, give, motorists)
(breath tests, be administered in, usual case)
(breath tests, be, administered)
(breath tests, give, measure)
(breath tests, be administered in, usual drunk-driving case)
(breath tests, be administered in, case)
(breath tests, give, measure of choice over which)
(places, is in, hands of law enforcement authorities)
(potential, remains, precluded)
(law enforcement agency, is, Even precluded)
(potential, remains, Even precluded)
(potential, result in, anxiety)
(potential, result in, anxiety for person tested)
(law enforcement agency, is, precluded)
(potential, result in, anxiety for person)
(need, obtain BAC readings for, persons)
(persons, arrested for, drunk driving)
(need, obtain, BAC readings)
(need, obtain BAC readings for, persons arrested for driving)
(we, assessed, impact of breath)
(persons, arrested for, driving)
(we, assessed, impact)
(need, obtain BAC readings for, persons arrested for drunk driving)
(we, assessed, impact of breath on privacy interests)
(need, obtain BAC readings for, persons arrested)
(we, assessed, impact on privacy interests)
(Federal Government, preserving, safety)
(Federal Government, have, interest)
(Federal Government, preserving, safety of highways)
(Federal Government, have, paramount interest)
(States, have, paramount interest)
(Federal Government, preserving, safety of public highways)
(States, have, interest)
(statistics, are staggering, number of deaths has declined)
(statistics, are, still staggering)
(statistics, are staggering, number caused has declined over years)
(statistics, are still staggering, number of deaths has declined over years)
(statistics, are still staggering, number of deaths caused has declined over years)
(statistics, are staggering, number has declined over years)
(statistics, are still staggering, number of deaths caused has declined)
(statistics, are still staggering, number has declined)
(number, has declined over, years)
(statistics, are staggering, number of deaths caused by motor vehicle accidents has declined over years)
(statistics, are still staggering, number of deaths caused by motor vehicle accidents has declined over years)
(statistics, are still staggering, number caused by motor vehicle accidents has declined over years)
(statistics, are still staggering, number has declined over years)
(statistics, are still staggering, number of deaths has declined)
(statistics, are staggering, number caused has declined)
(statistics, are still staggering, number caused by motor vehicle accidents has declined)
(statistics, are staggering, number of deaths caused has declined)
(statistics, are still staggering, number caused has declined)
(statistics, are staggering, number of deaths has declined over years)
(statistics, are still staggering, number of deaths caused by motor vehicle accidents has declined)
(statistics, are staggering, number caused by motor vehicle accidents has declined)
(statistics, are staggering, number of deaths caused has declined over years)
(statistics, are still staggering, number caused has declined over years)
(statistics, are staggering, number of deaths caused by motor vehicle accidents has declined)
(statistics, are, staggering)
(statistics, are staggering, number has declined)
(statistics, are staggering, number caused by motor vehicle accidents has declined over years)
(NHTSA, Summary of, Motor Vehicle Crashes 1)
(Motor Vehicle Crashes 1, of Summary is, Table)
(29,989 fatalities, injuries in, 2014)
(1,648,000 injuries, is in, 2014)
(47,087 fatalities, injuries in, 1988)
(3,416,000 injuries, is in, 1988)
(consumption, is, leading)
(Alcohol consumption, is, cause)
